Datum,Tidpunkt ,Provpunkt,Alkalinitet HCO3 mg/l,Nitrat,Konduktivitet Hanna,pH Hanna,Temp (DO),DO mg/l,Syremättnad %,Fosfat PO4 mg/l,Järn ,Kalcium mg/l,Magnesium mg/l,Hårdhet dH
07/03/2025,01:53:00 PM,Fisk,,,65.7,6.75,25.8,7.34,91.2,,,,,
07/08/2025,01:27:00 PM,Fisk,,,64.3,6.71,25.9,7.35,91.3,,,,,
07/15/2025,01:46:00 PM,Fisk,,,61.7,6.74,26.6,7.33,91.4,,,,,
07/22/2025,08.33,Fisk,,,66,6.08,27.3,7.11,90.3,,,,,
07/23/2025,11:00:00 AM,Fisk,,,67.6,6.61,27.7,6.98,89.2,,,,,
07/24/2025,09:00:00 AM,Fisk,,,67.6,6.62,27.4,7.02,89.1,,,,,
07/24/2025,16.00,Fisk,,,69,6.87,27.4,,,,,,,
07/29/2025,08.30,Fisk,,,69,6.85,27.4,7.18,92.2,,,,,
07/31/2025,08.34,Fisk,,,67.9,6.83,26.53,-,-,,,,,
08/04/2025,04:32:00 PM,Fisk,,,69.6,6.81,26.6,7.5,94,,,,,
08/13/2025,01:00:00 PM,Fisk,,,84.3,4.58,25.1,7.7,93,,,,,
